j,Energy,Protein,Vitamin A,Vitamin D,Vitamin E,Vitamin C,Vitamin B-6,Vitamin B-12,Calcium,Magnesium,Iron,Zinc
Beef,3230,249,0,0,0,0,3,19,40,230,17,41
Bottled beer,410,3,0,0,0,0,1,0,50,60,0,0
Bread,2740,80,0,0,0,0,0,0,100,270,5,9
Butter,8760,3,9250,20,30,0,0,0,80,10,1,0
Canned milk/milk powder,4960,263,4070,0,0,70,4,30,8510,810,7,30
"Canned, dried and wild vegetables",230,85,1460,0,0,445,2,0,969,550,23,6
Cassava dry/flour,3140,26,140,0,0,720,7,0,460,240,19,7
Cassava fresh,1600,14,10,0,2,206,1,0,160,210,3,3
Chicken,1670,245,270,0,0,0,2,2,90,140,10,13
Citrus fruits,470,9,80,0,0,530,1,0,400,100,1,1
Coconuts,700,5,0,0,0,10,0,0,1260,30,4,1
Coffee and cocoa,2000,100,0,0,0,0,0,0,3000,4000,100,0
Cooking oil,8620,0,0,0,10,0,0,0,0,0,0,0
Cricket,75,96,10,10,0,20,3,16,900,620,25,84
Dairy,3490,76,3660,0,3,0,0,4,800,60,12,5
Dried/salted/canned fish,3090,664,0,0,40,0,73,350,410,1220,14,17
Eggs,2780,192,8100,80,20,0,4,81,960,260,59,21
Fish,980,181,0,0,0,170,5,0,70,210,3,3
Fresh fish,1120,214,430,120,10,0,3,11,480,860,9,4
Fresh milk,600,32,280,0,1,0,0,4,1150,120,0,0
Goat meat,2690,249,0,0,0,0,3,19,40,230,17,41
Groundnuts,5670,258,0,0,90,0,3,0,920,1680,46,33
"Honey, syrups, jams, marmalade, jellies, canned fruits",3040,3,0,0,0,10,0,0,60,20,4,2
Irish potatoes,930,20,0,0,67,186,7,0,50,250,4,3
Local beer,410,3,0,0,0,0,1,0,50,60,0,0
Maize (flour),3620,81,0,0,10,0,3,0,60,1270,35,18
Maize (grain),3620,81,0,0,10,0,3,0,60,1270,35,18
"Maize (green, cob)",590,18,70,0,0,30,0,0,10,180,3,3
Mangoes,650,5,380,0,11,277,1,0,100,90,1,0
Millet and sorghum (flour),3280,66,50,0,0,0,2,0,2750,270,27,12
Millet and sorghum (grain),3280,66,50,0,0,0,2,0,2750,270,27,12
Nuts,5890,200,0,0,240,10,1,0,2660,2960,37,29
"Onions, tomatoes, carrots, green pepper, other viungo",400,13,0,0,0,74,1,0,230,100,2,2
Other cereal products,0,0,0,0,0,0,0,0,0,0,0,0
Other raw materials for drinks,0,0,0,0,0,0,0,0,0,0,0,0
Other spices,0,0,0,0,0,0,0,0,0,0,0,0
Other starches,3810,3,0,0,0,0,0,0,20,30,5,1
Pasta,3710,105,0,0,0,0,0,0,150,220,12,1
Pastries,3200,47,340,0,10,0,0,2,380,90,4,4
"Peas, beans, lentils and other pulses",1160,90,30,0,0,50,5,0,510,960,88,35
Plantains,0,0,0,0,0,0,0,0,0,0,0,0
Pork,5370,196,10,10,0,0,3,6,180,170,8,21
"Prepared tea, coffee",2000,100,0,0,0,0,0,0,3000,4000,100,0
Rice (husked),3580,65,0,0,0,0,1,0,80,360,6,11
Rice (paddy),3580,65,0,0,0,0,1,0,80,360,6,11
Ripe bananas,890,11,30,0,1,87,4,0,50,270,3,2
Salt,0,0,0,0,0,0,0,0,450,20,1,0
Seeds and nut products,5880,264,70,0,20,0,2,0,1310,3470,78,103
Soft drinks,540,2,1680,0,0,150,1,0,40,40,0,0
"Spinach, cabbage, other green vegetables",230,30,8190,0,10,100,2,0,1360,870,36,8
Sugar,3870,0,0,0,0,0,0,0,10,0,1,0
Sugarcane,260,0,0,0,0,0,0,0,60,20,1,0
Sweet potatoes,740,12,10560,0,40,180,2,0,200,140,4,2
Sweets,4790,42,0,0,3,0,0,0,320,1150,31,16
Tea (dry),10,0,0,0,0,0,0,0,20,20,0,0
Wheat (flour),3990,137,0,0,0,0,3,0,150,220,12,7
"Wheat, barley grain and other cereals",3490,123,0,0,10,0,2,0,260,920,28,20
"Wheat, barley, other grains",3490,123,0,0,10,0,2,0,260,920,28,20
Wild birds and insects,0,0,0,0,0,0,0,0,0,0,0,0
Wine and spirits,190,0,0,0,0,5,0,0,80,100,4,1
Yams/cocoyams,970,21,0,0,50,120,2,0,80,260,8,5