,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99
Energy,1000,1000,1400,1200,1800,1600,2200,1800,2400,2000,2200,1800,2000,1600
Protein,13,13,19,19,34,34,52,46,56,46,56,46,56,46
Vitamin A,300,300,400,400,600,600,900,700,900,700,900,700,900,700
Vitamin D,15,15,20,20,20,20,20,20,20,20,20,20,20,20
Vitamin E,6,6,7,7,11,11,15,15,15,15,15,15,15,15
Vitamin C,15,15,25,25,45,45,75,65,90,75,90,75,90,75
Vitamin B-6,0.5,0.5,0.6,0.6,1,1,1.3,1.2,1.3,1.3,1.3,1.3,1.7,1.5
Vitamin B-12,0.9,0.9,1.2,1.2,1.8,1.8,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
Calcium,700,700,1000,1000,1300,1300,1300,1300,1000,1000,1000,1000,1000,1200
Magnesium,80,80,130,130,240,240,410,360,400,310,420,320,420,320
Iron,7,7,10,10,8,8,11,15,8,18,8,18,8,8
Zinc,3,3,5,5,8,8,11,9,11,8,11,8,11,8
Fiber,14,14,19.6,16.8,25.2,22.4,30.8,25.2,33.6,28,30.8,25.2,28,22.4